leaf_concept,family,order,resolution_method,taxonomy_source
"Juniperus californica","Cupressaceae","Pinales","exact_species","iNaturalist_2018_competition_metadata"
"Euphorbia prostrata","Euphorbiaceae","Malpighiales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Leptopteris hymenophylloides","Osmundaceae","Osmundales","exact_species","iNaturalist_2018_competition_metadata"
"Arum italicum","Araceae","Alismatales","authoritative_crosscheck","POWO_2026"
"Raphanus sativus","Brassicaceae","Brassicales","exact_species","iNaturalist_2018_competition_metadata"
"Myrsine australis","Primulaceae","Ericales","exact_species","iNaturalist_2018_competition_metadata"
"Lupinus stiversii","Fabaceae","Fabales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Pinus echinata","Pinaceae","Pinales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Geum macrophyllum","Rosaceae","Rosales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Ripogonum scandens","Ripogonaceae","Liliales","exact_species","iNaturalist_2018_competition_metadata"
"Echinocereus triglochidiatus","Cactaceae","Caryophyllales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Cupressus macrocarpa","Cupressaceae","Pinales","exact_species","iNaturalist_2018_competition_metadata"
"Ulmus crassifolia","Ulmaceae","Rosales","exact_species","iNaturalist_2018_competition_metadata"
"Phormium tenax","Asphodelaceae","Asparagales","exact_species","iNaturalist_2018_competition_metadata"
"Aptenia cordifolia","Aizoaceae","Caryophyllales","authoritative_crosscheck","POWO_2026_synonym_Mesembryanthemum_cordifolium"
"Osmunda claytoniana","Osmundaceae","Osmundales","exact_species","iNaturalist_2018_competition_metadata"
"Datura wrightii","Solanaceae","Solanales","exact_species","iNaturalist_2018_competition_metadata"
"Solanum rostratum","Solanaceae","Solanales","exact_species","iNaturalist_2018_competition_metadata"
"Viola adunca","Violaceae","Malpighiales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Toxicodendron diversilobum","Anacardiaceae","Sapindales","exact_species","iNaturalist_2018_competition_metadata"
"Viola sororia","Violaceae","Malpighiales","exact_species","iNaturalist_2018_competition_metadata"
"Uropappus lindleyi","Asteraceae","Asterales","exact_species","iNaturalist_2018_competition_metadata"
"Veronica chamaedrys","Plantaginaceae","Lamiales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Adenocaulon bicolor","Asteraceae","Asterales","authoritative_crosscheck","POWO_2026"
"Clintonia uniflora","Liliaceae","Liliales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Cirsium scariosum","Asteraceae","Asterales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Arum maculatum","Araceae","Alismatales","authoritative_crosscheck","POWO_2026"
"Taraxacum officinale officinale","Asteraceae","Asterales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Orthilia secunda","Ericaceae","Ericales","authoritative_crosscheck","POWO_2026"
"Eryngium yuccifolium","Apiaceae","Apiales","exact_species","iNaturalist_2018_competition_metadata"
"Diodia virginiana","Rubiaceae","Gentianales","exact_species","iNaturalist_2018_competition_metadata"
"Cuscuta gronovii","Convolvulaceae","Solanales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Sisyrinchium montanum","Iridaceae","Asparagales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Lotus corniculatus","Fabaceae","Fabales","exact_species","iNaturalist_2018_competition_metadata"
"Lamium purpureum","Lamiaceae","Lamiales","exact_species","iNaturalist_2018_competition_metadata"
"Ranunculus repens","Ranunculaceae","Ranunculales","exact_species","iNaturalist_2018_competition_metadata"
"Hirschfeldia incana","Brassicaceae","Brassicales","exact_species","iNaturalist_2018_competition_metadata"
"Phlox divaricata laphamii","Polemoniaceae","Ericales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Lilium martagon","Liliaceae","Liliales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Clarkia purpurea","Onagraceae","Myrtales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Hibiscus moscheutos","Malvaceae","Malvales","exact_species","iNaturalist_2018_competition_metadata"
"Polanisia dodecandra","Cleomaceae","Brassicales","authoritative_crosscheck","POWO_2026_synonym_Cleome_dodecandra"
"Fallugia paradoxa","Rosaceae","Rosales","authoritative_crosscheck","POWO_2026"
"Oenothera rosea","Onagraceae","Myrtales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Proboscidea louisianica","Martyniaceae","Lamiales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Packera glabella","Asteraceae","Asterales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Impatiens parviflora","Balsaminaceae","Ericales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Glaucium flavum","Papaveraceae","Ranunculales","authoritative_crosscheck","POWO_2026"
"Cirsium andersonii","Asteraceae","Asterales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Heliopsis helianthoides","Asteraceae","Asterales","authoritative_crosscheck","POWO_2026"
"Hesperis matronalis","Brassicaceae","Brassicales","exact_species","iNaturalist_2018_competition_metadata"
"Callirhoe pedata","Malvaceae","Malvales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Crocosmia × crocosmiiflora","Iridaceae","Asparagales","authoritative_crosscheck","POWO_2026"
"Calochortus albus","Liliaceae","Liliales","exact_species","iNaturalist_2018_competition_metadata"
"Nuttallanthus canadensis","Plantaginaceae","Lamiales","authoritative_crosscheck","POWO_2026_synonym_Linaria_canadensis"
"Argemone albiflora","Papaveraceae","Ranunculales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Eriogonum fasciculatum","Polygonaceae","Caryophyllales","exact_species","iNaturalist_2018_competition_metadata"
"Pyrrhopappus pauciflorus","Asteraceae","Asterales","authoritative_crosscheck","POWO_2026"
"Zantedeschia aethiopica","Araceae","Alismatales","exact_species","iNaturalist_2018_competition_metadata"
"Melilotus officinalis","Fabaceae","Fabales","exact_species","iNaturalist_2018_competition_metadata"
"Peritoma arborea","Cleomaceae","Brassicales","exact_species","iNaturalist_2018_competition_metadata"
"Sisyrinchium bellum","Iridaceae","Asparagales","exact_species","iNaturalist_2018_competition_metadata"
"Lobelia siphilitica","Campanulaceae","Asterales","exact_species","iNaturalist_2018_competition_metadata"
"Sorghastrum nutans","Poaceae","Poales","exact_species","iNaturalist_2018_competition_metadata"
"Typha domingensis","Typhaceae","Poales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Rubus laciniatus","Rosaceae","Rosales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Dichelostemma congestum","Asparagaceae","Asparagales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
"Chimaphila maculata","Ericaceae","Ericales","exact_species","iNaturalist_2018_competition_metadata"
"Echinocactus texensis","Cactaceae","Caryophyllales","genus_taxonomy_inference","iNaturalist_2018_competition_metadata"
